name,openapi_url,logo_url,description,category,publish_npm
adyen-com-LegalEntityService,https://api.apis.guru/v2/specs/adyen.com/LegalEntityService/3/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,The Legal Entity Management API enables you to manage legal entities that contain information required for verification.,Payment,true
adyen-com-ManagementNotificationService-v1,https://api.apis.guru/v2/specs/adyen.com/ManagementNotificationService-v1/1/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"Adyen uses webhooks to inform your system about events that happen with your Adyen company and merchant accounts, stores, payment terminals, and payment methods when using [Management API](https://...",Payment,true
adyen-com-ManagementService,https://api.apis.guru/v2/specs/adyen.com/ManagementService/1/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"Configure and manage your Adyen company and merchant accounts, stores, and payment terminals.",Payment,true
adyen-com-MarketPayNotificationService,https://api.apis.guru/v2/specs/adyen.com/MarketPayNotificationService/6/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"This API is used for the classic integration. If you are just starting your implementation, refer to our [new integration guide](https://docs.adyen.com/marketplaces-and-platforms) instead.",Payment,true
adyen-com-NotificationConfigurationService,https://api.apis.guru/v2/specs/adyen.com/NotificationConfigurationService/6/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"This API is used for the classic integration. If you are just starting your implementation, refer to our [new integration guide](https://docs.adyen.com/marketplaces-and-platforms) instead.",Payment,true
adyen-com-PaymentService,https://api.apis.guru/v2/specs/adyen.com/PaymentService/68/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"A set of API endpoints that allow you to initiate, settle, and modify payments on the Adyen payments platform. You can use the API to accept card payments (including One-Click and 3D Secure), bank ...",Payment,true
adyen-com-PayoutService,https://api.apis.guru/v2/specs/adyen.com/PayoutService/68/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"A set of API endpoints that allow you to store payout details, confirm, or decline a payout.",Payment,true
adyen-com-RecurringService,https://api.apis.guru/v2/specs/adyen.com/RecurringService/68/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.,Payment,true
adyen-com-StoredValueService,https://api.apis.guru/v2/specs/adyen.com/StoredValueService/46/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,A set of API endpoints to manage stored value products.,Payment,true
adyen-com-TestCardService,https://api.apis.guru/v2/specs/adyen.com/TestCardService/1/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"The Test Cards API provides endpoints for generating custom test card numbers. For more information, refer to [Custom test cards](https://docs.adyen.com/development-resources/testing/create-test-ca...",Payment,true
adyen-com-TfmAPIService,https://api.apis.guru/v2/specs/adyen.com/TfmAPIService/1/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"This API provides endpoints for managing your point-of-sale (POS) payment terminals. You can use the API to obtain information about a specific terminal, retrieve overviews of your terminals and st...",Payment,true
adyen-com-TransferService,https://api.apis.guru/v2/specs/adyen.com/TransferService/3/openapi.json,https://api.apis.guru/v2/cache/logo/https_twitter_com_Adyen_profile_image.svg,"The Transfers API provides endpoints that you can use to get information about all your transactions, move funds within your balance platform or send funds from your balance platform to a [transfer...",Payment,true
afterbanks-com,https://api.apis.guru/v2/specs/afterbanks.com/3.0.0/swagger.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_AfterbanksAPI_profile_image.jpeg,La estandarización de la conexión con cualquier banco en tiempo real.,Finance,true
aiception-com,https://api.apis.guru/v2/specs/aiception.com/1.0.0/swagger.json,https://api.apis.guru/v2/cache/logo/https_twitter.com_AIception_profile_image.jpeg,Here you can play & test & prototype all the endpoints using just your browser! Go ahead!,AI,true
airbyte-local-config,https://api.apis.guru/v2/specs/airbyte.local/config/1.0.0/openapi.json,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg,Airbyte Configuration API,Developer_tools,true
airport-web-appspot-com,https://api.apis.guru/v2/specs/airport-web.appspot.com/v1/swagger.json,https://api.apis.guru/v2/cache/logo/https_user-images.githubusercontent.com_21603_37955263-098e5b38-31a0-11e8-96fd-5755b16341e3.png,Get name and website-URL for airports by ICAO code. Covered airports are mostly in Germany.,Transport,true
alertersystem-com,https://api.apis.guru/v2/specs/alertersystem.com/1.6.0/openapi.json,https://api.apis.guru/v2/cache/logo/https_alertersystem.com_build_images_apple-touch-icon.a3295fc1.png,<p>This is the <a href='/'>Alerter System</a> API playground. More documentation is available at the <a href='/help/developers/'>API Help Center</a>.</p><p>The 'Available Authorizations' in the Aut...,Other,true
amadeus-com-amadeus-airport-on-time-performance,https://api.apis.guru/v2/specs/amadeus.com/amadeus-airport-on-time-performance/1.0.4/swagger.json,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg,"Before using this API, we recommend you read our **[Authorization Guide](https://developers.amadeus.com/self-service/apis-docs/guides/authorization-262)** for more information on how to generate an...",Other,true
amadeus-com-amadeus-flight-create-orders,https://api.apis.guru/v2/specs/amadeus.com/amadeus-flight-create-orders/1.9.0/swagger.json,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg,"Before using this API, we recommend you read our **[Authorization Guide](https://developers.amadeus.com/self-service/apis-docs/guides/authorization-262)** for more information on how to generate an...",Other,true
amadeus-com-amadeus-flight-offers-price,https://api.apis.guru/v2/specs/amadeus.com/amadeus-flight-offers-price/1.2.2/swagger.json,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg,"Before using this API, we recommend you read our **[Authorization Guide](https://developers.amadeus.com/self-service/apis-docs/guides/authorization-262)** for more information on how to generate an...",Other,true
amadeus-com-amadeus-flight-order-management,https://api.apis.guru/v2/specs/amadeus.com/amadeus-flight-order-management/1.9.0/swagger.json,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg,"Before using this API, we recommend you read our **[Authorization Guide](https://developers.amadeus.com/self-service/apis-docs/guides/authorization-262)** for more information on how to generate an...",Other,true
amadeus-com-amadeus-flight-price-analysis,https://api.apis.guru/v2/specs/amadeus.com/amadeus-flight-price-analysis/1.0.1/openapi.json,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg,"Before using this API, we recommend you read our **[Authorization Guide](https://developers.amadeus.com/self-service/apis-docs/guides/authorization-262)** for more information on how to generate an...",Other,true
